开课日期,课程,期号,城市,导师,上课人数,上课企业数
2021/11/13,品牌体验设计,38,上海,汪志谦,52,37
2021/11/25,人才战略,2,上海,冉涛,39,32
2021/11/27,OGSM业务规划与执行,22,上海,袁园,37,22
2021/12/4,铁三角营销体系,5,上海,王占刚,47,26
2021/12/11,业务管理者养成,21,上海,汤君健,69,37
2021/12/18,B2B销售业绩管理,7,上海,崔建中,41,29
2021/12/22,产品开发管理IPD,18,上海,刘红革,51,24
2021/12/25,流程型组织,66,上海,蒋伟良,85,41
2022/1/14,业务领先战略,18,上海,汪瀛,38,25
2022/1/15,科学分钱,58,上海,卞志汉,40,26
2022/2/10,战略绩效设计,1,上海,陈雨点,67,50
2022/2/12,做实企业文化,66,上海,欧德张,41,31
2022/2/19,OGSM业务规划与执行,26,上海,袁园,62,30
2022/2/26,品牌私域,1,上海,周有娟,65,40
2022/3/5,B2B销售业绩管理,9,上海,崔建中,42,25
2022/3/5,人才战略,5,上海,冉涛,47,39
2022/3/5,业务管理者养成,23,上海,汤君健,35,28
2022/7/16,科学分钱,63,杭州,卞志汉,35,23
2022/7/21,税务科学筹划,53,杭州,叶建平,31,23
2022/7/23,OKR实战工作坊,47,上海,姚琼,35,8
2022/7/30,业务管理者养成,26,杭州,汤君健,44,28
2022/8/6,流程型组织,70,上海,蒋伟良,76,39
2022/8/6,品牌体验设计,42,上海,汪志谦,41,27
2022/8/11,爆单私域,5,杭州,高海波 Leo,49,30
2022/8/12,品牌私域,6,杭州,周有娟,59,33
2022/8/24,科学分钱,66,南京,卞志汉,44,23
2022/8/25,品牌增长与全域营销,7,上海,陈陶琦,28,20
2022/8/27,事业战略,11,上海,邓良,33,18
2022/9/2,业务领先战略,20,上海,汪瀛,42,31
2022/9/17,品牌体验设计,43,杭州,汪志谦,47,34
2022/9/22,经营者养成,1,上海,冯骏,26,23
2022/9/24,税务科学筹划,56,上海,叶建平,37,31
2022/10/8,OKR战略解码,2,杭州,李靖,31,10
2022/10/13,科学分钱,68,杭州,卞志汉,73,9
2022/10/15,流程型组织,72,上海,蒋伟良,48,24
2022/10/28,极简项目管理,39,杭州,郭嘉,46,11
2022/10/29,管理者的自我管理,25,上海,欧阳开贵&邓良,65,30
2022/11/5,科学分钱,70,上海,卞志汉,48,38
2022/11/5,品牌体验设计,46,上海,汪志谦,34,17
2022/11/12,供应链再造,43,上海,姜宏锋,35,22
2022/11/12,科学分钱,71,上海,卞志汉,63,9
2022/11/19,业务管理者养成,28,上海,汤君健,32,24
2022/12/10,做实企业文化,68,上海,欧德张,29,17
2022/12/17,流程型组织,75,上海,蒋伟良,41,23
2023/2/9,动态股权设计,103,上海,罗毅&张杰,48,38
2023/2/11,战略绩效设计,8,上海,陈雨点,65,43
2023/2/18,流程型组织,76,杭州,蒋伟良,74,32
2023/2/23,经营者养成,3,上海,冯骏,36,25
2023/3/4,业务领先战略,22,上海,汪瀛,40,25
2023/3/11,事业战略,15,上海,邓良,61,39
2023/3/18,品牌增长与全域营销,9,上海,陈陶琦,66,45
2023/3/23,科学分钱,77,上海,卞志汉,52,38
2023/3/25,品牌体验设计,49,杭州,汪志谦,78,32
2023/3/31,教练式领导力,55,杭州,季益祥,59,15
2023/4/1,产品开发管理IPD,26,上海,刘红革,48,24
2023/4/6,动态股权设计,106,上海,罗毅&张杰,41,27
2023/4/8,GTM营销操盘管理,2,上海,鲍圣霞,49,23
2023/4/13,业务管理者养成,31,杭州,汤君健,48,16
2023/4/15,流程型组织,78,上海,蒋伟良,83,43
2023/4/20,OKR战略解码,5,上海,李靖,38,7
2023/4/22,战略绩效设计,11,上海,陈雨点,35,20
2023/5/11,事业战略,16,上海,邓良,58,32
2023/5/13,业务管理者养成,32,上海,汤君健,42,28
2023/5/18,从用户研究到产品创新,5,杭州,科叔,34,20
2023/5/20,供应链管理,3,上海,高上,41,24
2023/5/25,创始人财务进阶,39,杭州,徐薇,58,34
2023/5/27,科学分钱,80,上海,卞志汉,42,26
2023/5/27,品牌增长与全域营销,11,杭州,陈陶琦,33,16
2023/6/2,教练式领导力,59,杭州,季益祥,37,12
2023/6/3,品牌体验设计,51,上海,汪志谦,70,31
2023/6/9,做实企业文化,71,杭州,欧德张,56,21
